iter	RMSE
0	10.11216592
1	10.09904128
2	10.0815415
3	10.05622932
4	10.04299616
5	10.03491653
6	10.02568995
7	10.00626993
8	9.995623743
9	9.983070961
10	9.967582166
11	9.954897843
12	9.94440125
13	9.927645955
14	9.918711583
15	9.910352832
16	9.896772405
17	9.886876282
18	9.863943514
19	9.848352461
20	9.835100691
21	9.817497068
22	9.80939294
23	9.799918183
24	9.791210134
25	9.773557403
26	9.762965547
27	9.747525406
28	9.73606841
29	9.722458794
30	9.708928845
31	9.696782926
32	9.685017595
33	9.671404022
34	9.662153111
35	9.6507745
36	9.630473121
37	9.611092627
38	9.602491684
39	9.585779775
40	9.573044494
41	9.561383956
42	9.542736365
43	9.523563982
44	9.509142354
45	9.496191159
46	9.484344025
47	9.470103011
48	9.456765488
49	9.441530766
50	9.428337009
51	9.420760498
52	9.402012958
53	9.386625506
54	9.378490739
55	9.367296065
56	9.358037463
57	9.346396859
58	9.335236048
59	9.32082493
60	9.310058262
61	9.302004005
62	9.292245325
63	9.281330475
64	9.268887535
65	9.256704642
66	9.244094446
67	9.2297053
68	9.211827983
69	9.199649006
70	9.185355588
71	9.167102301
72	9.15501177
73	9.140488724
74	9.125435395
75	9.113705979
76	9.097625954
77	9.08410997
78	9.071151656
79	9.059354352
80	9.046656182
81	9.035764197
82	9.023210631
83	9.012869922
84	9.006298595
85	8.990859107
86	8.982897096
87	8.970490662
88	8.960842814
89	8.948474358
90	8.934755214
91	8.928871512
92	8.918015624
93	8.907409451
94	8.895829359
95	8.883287144
96	8.870336
97	8.859651199
98	8.845988853
99	8.837975055
100	8.829268512
101	8.823199777
102	8.809362933
103	8.797241559
104	8.789108875
105	8.780831816
106	8.76613304
107	8.749649136
108	8.734930408
109	8.724622901
110	8.712420774
111	8.700157636
112	8.688625295
113	8.673027365
114	8.662002096
115	8.65006394
116	8.642662581
117	8.630179228
118	8.623681823
119	8.615914145
120	8.603755298
121	8.588810817
122	8.580309382
123	8.569621793
124	8.559232397
125	8.549048826
126	8.535402134
127	8.526364458
128	8.51750882
129	8.509939115
130	8.498316748
131	8.487584636
132	8.478832665
133	8.464696101
134	8.453158324
135	8.440783347
136	8.426982501
137	8.418940721
138	8.41192155
139	8.404936082
140	8.389983068
141	8.381411424
142	8.370640845
143	8.363232862
144	8.35024023
145	8.335513411
146	8.325444225
147	8.312034222
148	8.300377375
149	8.28955727
150	8.272585456
151	8.264176983
152	8.2515794
153	8.238547502
154	8.227957108
155	8.211876691
156	8.200181904
157	8.19126211
158	8.179150639
159	8.168280149
160	8.158768168
161	8.144295111
162	8.128134942
163	8.119365073
164	8.102581975
165	8.092304108
166	8.086814228
167	8.071874856
168	8.05128637
169	8.03913569
170	8.023709307
171	8.009640294
172	7.992100748
173	7.980432284
174	7.968539658
175	7.957680348
176	7.945755644
177	7.932903942
178	7.918036451
179	7.900703171
