Game,Month,Day,Year,Num1,Num2,Num3,Num4,Bonus
Texas Two Step,5,18,2001,9,10,22,13,1
Texas Two Step,5,22,2001,30,34,23,4,13
Texas Two Step,5,25,2001,3,29,18,33,17
Texas Two Step,5,29,2001,23,35,28,17,20
Texas Two Step,6,1,2001,16,11,28,4,31
Texas Two Step,6,5,2001,32,4,28,34,20
Texas Two Step,6,8,2001,4,3,33,2,29
Texas Two Step,6,12,2001,21,10,31,6,21
Texas Two Step,6,15,2001,7,24,25,20,35
Texas Two Step,6,19,2001,30,25,16,23,25
Texas Two Step,6,22,2001,21,20,31,8,4
Texas Two Step,6,26,2001,23,3,17,28,22
Texas Two Step,6,29,2001,33,30,9,15,28
Texas Two Step,7,3,2001,26,27,11,8,11
Texas Two Step,7,6,2001,14,4,6,2,35
Texas Two Step,7,10,2001,12,22,32,18,2
Texas Two Step,7,13,2001,32,23,19,14,9
Texas Two Step,7,17,2001,6,27,20,9,29
Texas Two Step,7,20,2001,16,10,12,35,11
Texas Two Step,7,24,2001,18,1,16,19,5
Texas Two Step,7,27,2001,21,30,2,33,6
Texas Two Step,7,31,2001,30,17,11,16,33
Texas Two Step,8,3,2001,12,8,11,2,20
Texas Two Step,8,7,2001,28,9,3,11,24
Texas Two Step,8,10,2001,8,17,16,18,35
Texas Two Step,8,14,2001,9,3,19,30,19
Texas Two Step,8,17,2001,15,18,5,1,15
Texas Two Step,8,21,2001,3,31,7,2,20
Texas Two Step,8,24,2001,11,26,27,22,21
Texas Two Step,8,28,2001,32,26,28,9,3
Texas Two Step,8,31,2001,16,32,2,34,13
Texas Two Step,9,4,2001,25,11,1,17,17
Texas Two Step,9,7,2001,28,14,26,5,24
Texas Two Step,9,11,2001,8,16,17,9,35
Texas Two Step,9,14,2001,22,17,3,31,5
Texas Two Step,9,18,2001,25,9,19,18,10
Texas Two Step,9,21,2001,1,5,25,24,7
Texas Two Step,9,25,2001,9,6,4,35,32
Texas Two Step,9,28,2001,22,14,29,5,11
Texas Two Step,10,2,2001,2,30,20,6,13
Texas Two Step,10,5,2001,28,34,25,22,32
Texas Two Step,10,9,2001,3,27,25,14,13
Texas Two Step,10,12,2001,33,17,28,6,16
Texas Two Step,10,16,2001,33,2,18,15,9
Texas Two Step,10,19,2001,18,17,12,23,6
Texas Two Step,10,23,2001,30,15,33,34,31
Texas Two Step,10,26,2001,4,25,27,23,16
Texas Two Step,10,30,2001,6,20,16,17,23
Texas Two Step,11,2,2001,31,16,23,35,11
Texas Two Step,11,6,2001,31,28,25,12,6
Texas Two Step,11,9,2001,1,15,14,35,24
Texas Two Step,11,13,2001,26,17,24,18,32
Texas Two Step,11,16,2001,18,11,10,26,15
Texas Two Step,11,20,2001,34,11,21,33,35
