Game Name, Month, Day, Year, Num1, Num2, Num3, Num4, Sum It Up
Daily 4 Morning,9,9,2013,3,4,0,8,15,
Daily 4 Morning,9,10,2013,9,1,0,6,16,
Daily 4 Morning,9,11,2013,0,0,8,2,10,
Daily 4 Morning,9,12,2013,3,9,5,1,18,
Daily 4 Morning,9,13,2013,7,2,8,7,24,
Daily 4 Morning,9,14,2013,0,4,0,9,13,
Daily 4 Morning,9,16,2013,2,5,0,5,12,
Daily 4 Morning,9,17,2013,2,1,0,1,4,
Daily 4 Morning,9,18,2013,5,2,4,8,19,
Daily 4 Morning,9,19,2013,9,1,5,5,20,
Daily 4 Morning,9,20,2013,4,3,7,5,19,
Daily 4 Morning,9,21,2013,8,9,3,2,22,
Daily 4 Morning,9,23,2013,5,6,4,3,18,
Daily 4 Morning,9,24,2013,1,9,7,4,21,
Daily 4 Morning,9,25,2013,4,4,7,0,15,
Daily 4 Morning,9,26,2013,2,9,2,6,19,
Daily 4 Morning,9,27,2013,0,2,1,6,9,
Daily 4 Morning,9,28,2013,9,9,9,7,34,
Daily 4 Morning,9,30,2013,3,6,1,9,19,
Daily 4 Morning,10,1,2013,4,6,9,8,27,
Daily 4 Morning,10,2,2013,6,4,4,7,21,
Daily 4 Morning,10,3,2013,9,8,3,4,24,
Daily 4 Morning,10,4,2013,1,1,7,2,11,
Daily 4 Morning,10,5,2013,5,1,0,7,13,
Daily 4 Morning,10,7,2013,3,1,4,8,16,
Daily 4 Morning,10,8,2013,3,7,4,2,16,
Daily 4 Morning,10,9,2013,0,8,6,4,18,
Daily 4 Morning,10,10,2013,5,4,1,5,15,
Daily 4 Morning,10,11,2013,1,1,8,1,11,
Daily 4 Morning,10,12,2013,9,8,2,5,24,
Daily 4 Morning,10,14,2013,6,4,2,8,20,
Daily 4 Morning,10,15,2013,2,6,4,3,15,
Daily 4 Morning,10,16,2013,0,4,8,7,19,
Daily 4 Morning,10,17,2013,9,8,3,1,21,
Daily 4 Morning,10,18,2013,2,4,1,2,9,
Daily 4 Morning,10,19,2013,6,5,0,2,13,
Daily 4 Morning,10,21,2013,2,2,6,5,15,
Daily 4 Morning,10,22,2013,1,3,8,8,20,
