Game Name, Month, Day, Year, Num1, Num2, Num3, Num4, Num5, Powerball, Power Play
Powerball,2,3,2010,37,52,22,36,17,24,2
Powerball,2,6,2010,22,54,52,14,59,4,3
Powerball,2,10,2010,29,8,37,38,5,34,5
Powerball,2,13,2010,14,10,40,51,30,1,4
Powerball,2,17,2010,36,7,26,8,19,15,3
Powerball,2,20,2010,13,54,41,37,27,32,2
Powerball,2,24,2010,50,17,57,35,4,12,2
Powerball,2,27,2010,47,18,58,53,51,30,2
Powerball,3,3,2010,14,49,9,7,45,23,4
Powerball,3,6,2010,41,33,10,59,29,15,2
Powerball,3,10,2010,41,37,17,50,21,1,2
Powerball,3,13,2010,16,36,20,6,31,8,5
Powerball,3,17,2010,55,26,48,45,24,8,2
Powerball,3,20,2010,9,36,44,45,39,9,2
Powerball,3,24,2010,14,49,39,24,20,7,3
Powerball,3,27,2010,21,7,32,52,44,10,4
Powerball,3,31,2010,13,45,54,5,17,12,5
Powerball,4,3,2010,15,59,52,10,31,4,4
Powerball,4,7,2010,36,52,44,4,40,33,2
Powerball,4,10,2010,21,22,52,49,58,34,2
Powerball,4,14,2010,14,6,32,52,38,20,3
Powerball,4,17,2010,22,41,49,21,5,15,5
Powerball,4,21,2010,11,34,55,41,49,20,2
Powerball,4,24,2010,57,56,1,53,12,5,2
Powerball,4,28,2010,28,44,12,22,25,24,4
Powerball,5,1,2010,23,25,16,49,58,20,4
Powerball,5,5,2010,47,13,34,40,57,11,4
Powerball,5,8,2010,41,5,57,34,22,31,5
Powerball,5,12,2010,52,58,53,37,51,38,2
Powerball,5,15,2010,28,15,36,23,21,20,2
Powerball,5,19,2010,7,58,55,29,2,27,3
Powerball,5,22,2010,20,19,47,57,40,29,2
Powerball,5,26,2010,6,20,10,1,13,32,4
Powerball,5,29,2010,24,3,28,1,41,10,4
Powerball,6,2,2010,39,14,43,9,4,38,4
Powerball,6,5,2010,18,34,40,59,48,25,4
Powerball,6,9,2010,22,49,27,14,32,5,4
Powerball,6,12,2010,38,13,12,9,35,30,10
Powerball,6,16,2010,29,18,11,36,8,6,5
Powerball,6,19,2010,54,31,9,30,50,39,3
Powerball,6,23,2010,48,11,45,30,47,10,3
Powerball,6,26,2010,57,30,13,38,32,25,4
Powerball,6,30,2010,38,43,6,48,47,27,5
Powerball,7,3,2010,52,53,3,14,10,3,3
Powerball,7,7,2010,10,41,44,56,48,4,2
Powerball,7,10,2010,28,21,20,56,27,4,4
Powerball,7,14,2010,21,23,38,20,42,6,3
Powerball,7,17,2010,27,37,22,45,35,3,4
Powerball,7,21,2010,16,58,22,30,51,25,3
Powerball,7,24,2010,59,30,46,38,20,27,2
Powerball,7,28,2010,1,11,20,27,25,2,5
Powerball,7,31,2010,1,57,16,41,17,15,3
Powerball,8,4,2010,53,30,19,37,28,36,4
Powerball,8,7,2010,52,26,31,22,4,30,5
Powerball,8,11,2010,22,52,10,23,7,29,2
Powerball,8,14,2010,58,50,36,9,33,31,2
Powerball,8,18,2010,47,4,33,32,55,39,3
Powerball,8,21,2010,7,22,10,27,12,26,2
Powerball,8,25,2010,17,36,29,16,31,23,3
Powerball,8,28,2010,32,56,4,27,22,13,4
Powerball,9,1,2010,40,20,21,17,51,19,3
Powerball,9,4,2010,33,22,42,14,11,38,2
Powerball,9,8,2010,10,57,51,35,39,20,5
Powerball,9,11,2010,36,20,59,17,7,33,4
Powerball,9,15,2010,7,20,21,34,43,34,5
Powerball,9,18,2010,18,44,1,39,37,13,4
Powerball,9,22,2010,10,36,52,24,55,15,5
Powerball,9,25,2010,8,35,27,16,42,30,2
Powerball,9,29,2010,52,13,55,44,51,30,4
Powerball,10,2,2010,30,12,36,20,47,25,4
Powerball,10,6,2010,26,41,14,37,46,24,5
Powerball,10,9,2010,42,32,49,6,2,35,3
Powerball,10,13,2010,46,34,32,22,12,2,4
Powerball,10,16,2010,28,16,12,11,15,11,2
Powerball,10,20,2010,20,39,7,17,59,17,3
Powerball,10,23,2010,20,2,46,7,16,34,4
Powerball,10,27,2010,25,24,20,59,53,15,5
Powerball,10,30,2010,49,7,27,1,36,39,5
Powerball,11,3,2010,34,45,38,39,50,33,2
Powerball,11,6,2010,7,12,23,34,38,33,4
Powerball,11,10,2010,5,8,44,40,11,10,4
Powerball,11,13,2010,30,51,17,48,54,29,5
Powerball,11,17,2010,14,59,54,53,16,5,3
Powerball,11,20,2010,12,10,38,53,57,1,5
Powerball,11,24,2010,20,8,21,37,32,4,3
Powerball,11,27,2010,47,37,30,54,10,39,5
Powerball,12,1,2010,10,5,12,11,20,2,3
Powerball,12,4,2010,27,24,42,31,13,22,5
Powerball,12,8,2010,25,8,11,58,41,16,4
Powerball,12,11,2010,1,8,19,10,20,23,2
